S.No,Employee ID,Description,SAM Account Name,Logon Name,Email Address,First Name,Last Name,Full Name,Display Name,Department,Sub Department,Sub Sub Department,Pager,IP Phone,Notes,Distinguished Name,Office,Title,Mobile,Band,Grade,When Created,When Changed,Domain Name,OU Name,Manager,Rep Mgr Emp ID,Rep Mgr Emp Name,Rep Mgr Emp Email ID,Manager Distinguished Name,DOJ,DOB,Zip Code,City,State/Province,Country,Company,Parent-Company,Account Status,Password Status,Account Expiry Time,Password Expiry Date,SFDC Portal ID,SFDC-HTSORGID,Days since password last set,Password Last Set,Pwd Never Expires Flag,ID Type,O365-E3 Exception
11,-,Active Directory User,RMJKV_3D5IQV,5usgi@company.com,user11@company.com,First11,Last11,First11 Last11,First11 Last11,Sales,SubDept1,SubSubDept2,9004,192.168.1.143,Sample Note,"CN=User11,OU=Dept1",Office3,Senior Analyst,9.20E+11,B4,Junior,30-09-2022,10-01-2023,COMPANY,OrgUnit1,Manager1,R2DHYL,Manager1,manager1@company.com,"CN=Manager1,OU=Dept1",22-06-2022,22-07-1992,596249,Chennai,West Bengal,UK,Bajaj Finserv Limited,Bajaj Group,Inactive,Expired,Never Expires,09-01-2025,MQLIZL08,YG0JV1V9,99,05-04-2021,No,Consultant,Yes
12,MKZEBB,Active Directory User,UQPGB_MKZEBB,7r3oc@company.com,user12@company.com,First12,Last12,First12 Last12,First12 Last12,IT,SubDept2,SubSubDept0,3485,192.168.1.39,Sample Note,"CN=User12,OU=Dept2",Office0,Consultant,9.18E+11,B1,Senior,20-01-2021,03-07-2020,COMPANY,OrgUnit2,Manager2,UOVW1N,Manager2,manager2@company.com,"CN=Manager2,OU=Dept2",12-11-2023,23-01-1995,411797,Chennai,Delhi,UK,Bajaj Financial Securities Limited,Bajaj Group,Active,Valid,Never Expires,17-11-2025,8HHXFGCA,QVKIZZQY,135,08-05-2023,No,Application,Yes
13,PTX63C,Active Directory User,QKOJT_PTX63C,pv60v@company.com,user13@company.com,First13,Last13,First13 Last13,First13 Last13,IT,SubDept3,SubSubDept1,2496,192.168.1.59,Sample Note,"CN=User13,OU=Dept3",Office1,Consultant,9.20E+11,B1,Junior,03-04-2023,10-11-2022,COMPANY,OrgUnit3,Manager3,3U1GSP,Manager3,manager3@company.com,"CN=Manager3,OU=Dept3",08-03-2021,05-03-1986,713762,Bangalore,Delhi,India,Bajaj Finserv Direct Limited,Bajaj Group,Inactive,Expired,Never Expires,26-10-2025,OLDFORXO,1BDJE153,0,18-10-2022,No,Consultant,No
14,OGN1W1,Active Directory User,5RBW2_OGN1W1,zlaoi@company.com,-,-,-,-,-,-,-,SubSubDept2,8560,192.168.1.243,Sample Note,"CN=User14,OU=Dept4",Office2,Manager,9.20E+11,B2,Senior,13-02-2022,19-12-2023,COMPANY,OrgUnit4,Manager4,ZSJ49I,Manager4,manager4@company.com,"CN=Manager4,OU=Dept4",06-05-2022,02-12-1984,502219,Mumbai,West Bengal,Canada,Bajaj Finserv Health Limited,Bajaj Group,Active,Valid,22-05-2025,Never Expires,J2O7S3KK,V9RFTMTT,233,20-12-2023,Yes,Consultant,No
15,59IN4O,Vendor Account,RBSV5_59IN4O,5psq0@company.com,-,-,-,-,-,-,-,SubSubDept0,3529,192.168.1.20,Sample Note,"CN=User15,OU=Dept0",Office3,Engineer,9.18E+11,B3,Junior,26-08-2022,12-12-2022,COMPANY,OrgUnit5,Manager5,OCLYT8,Manager5,manager5@company.com,"CN=Manager5,OU=Dept0",31-08-2022,08-08-1996,667296,Pune,West Bengal,India,Bajaj Finserv Ventures Limited,Bajaj Group,Active,Expired,Never Expires,22-12-2025,90PDW5PY,6B2KNFTU,92,21-09-2020,No,Vendor,Yes
16,C5WI6F,Active Directory User,6QKTC_C5WI6F,89k8y@company.com,-,-,-,-,-,-,-,SubSubDept1,5949,192.168.1.51,Sample Note,"CN=User16,OU=Dept1",Office0,Engineer,9.19E+11,B1,Senior,03-01-2021,15-08-2021,COMPANY,OrgUnit6,Manager6,UU9K9X,Manager6,manager6@company.com,"CN=Manager6,OU=Dept1",02-03-2021,10-04-1980,693419,Pune,West Bengal,Germany,Bajaj Holding and Investment Limited,Bajaj Group,Inactive,Valid,Never Expires,18-08-2025,VMWWYZX4,W6XLPU0D,151,22-05-2021,No,Consultant,No
17,GET8T6,Active Directory User,QC1IY_GET8T6,yo4ud@company.com,-,-,-,-,-,-,-,SubSubDept2,1228,192.168.1.68,Sample Note,"CN=User17,OU=Dept2",Office1,Consultant,9.18E+11,B4,Junior,26-07-2021,11-11-2022,COMPANY,OrgUnit7,Manager7,0JNWNY,Manager7,manager7@company.com,"CN=Manager7,OU=Dept2",02-01-2022,06-11-1980,749641,Chennai,Tamil Nadu,Canada,Bajaj Finserv Direct Limited,Bajaj Group,Active,Valid,Never Expires,29-08-2025,WQZXEBB9,EITNN8ZT,300,27-02-2023,No,Consultant,Yes
18,5X4W7K,Active Directory User,DYT9M_5X4W7K,oge4q@company.com,-,-,-,-,-,-,-,SubSubDept0,1349,192.168.1.13,Sample Note,"CN=User18,OU=Dept3",Office2,Executive,9.18E+11,B2,Senior,07-05-2023,27-05-2022,COMPANY,OrgUnit8,Manager8,H3TV3I,Manager8,manager8@company.com,"CN=Manager8,OU=Dept3",17-04-2023,07-01-1985,926952,Chennai,Maharashtra,UK,Bajaj Finserv Ventures Limited,Bajaj Group,Active,Valid,25-04-2025,10-08-2025,T2D5EM2V,AJEPECQN,303,18-06-2020,No,Application,No
19,S8B25S,Active Directory User,YR6CC_S8B25S,vcjwt@company.com,user19@company.com,First19,Last19,First19 Last19,First19 Last19,Finance,SubDept4,SubSubDept1,7240,192.168.1.153,Sample Note,"CN=User19,OU=Dept4",Office3,Consultant,9.18E+11,B4,Junior,24-02-2022,29-07-2022,COMPANY,OrgUnit9,Manager9,P2EX5T,Manager9,manager9@company.com,"CN=Manager9,OU=Dept4",06-09-2023,26-04-1987,550961,Bangalore,Karnataka,Germany,Bajaj Holding and Investment Limited,Bajaj Group,Inactive,Expired,19-07-2025,26-01-2025,O0LLJ8YR,DDP0NEC8,287,27-05-2021,No,Generic,Yes
20,O57P6B,Active Directory User,FR4MU_O57P6B,ekipu@company.com,user20@company.com,First20,Last20,First20 Last20,First20 Last20,Operations,SubDept0,SubSubDept2,1430,192.168.1.156,Sample Note,"CN=User20,OU=Dept0",Office0,Executive,9.17E+11,B2,Senior,28-02-2021,27-12-2022,COMPANY,OrgUnit0,Manager0,17MGFX,Manager0,manager0@company.com,"CN=Manager0,OU=Dept0",18-04-2020,29-10-1984,876962,Pune,Maharashtra,Canada,Bajaj Financial Securities Limited,Bajaj Group,Active,Expired,Never Expires,03-06-2025,PMNZ1UDB,FWYJXRPJ,262,25-06-2020,No,Employee,No
21,PKYRYB,Active Directory User,811KE_PKYRYB,rpeti@company.com,user21@company.com,First21,Last21,First21 Last21,First21 Last21,Operations,SubDept1,SubSubDept0,6802,192.168.1.19,Sample Note,"CN=User21,OU=Dept1",Office1,Engineer,9.17E+11,B4,Junior,30-01-2020,15-12-2021,COMPANY,OrgUnit1,Manager1,75UUZP,Manager1,manager1@company.com,"CN=Manager1,OU=Dept1",27-06-2020,12-10-1993,121869,Delhi,Karnataka,Canada,Bajaj Finserv Limited,Bajaj Group,Inactive,Expired,09-04-2025,Never Expires,D4IVSOLM,LGSES6M0,330,20-06-2023,Yes,Employee,Yes
22,IFHV1X,Vendor Account,5WFCP_IFHV1X,kjcsl@company.com,user22@company.com,First22,Last22,First22 Last22,First22 Last22,Sales,SubDept2,SubSubDept1,1616,192.168.1.15,Sample Note,"CN=User22,OU=Dept2",Office2,Executive,9.18E+11,B1,Senior,28-09-2022,04-09-2023,COMPANY,OrgUnit2,Manager2,9DVNU8,Manager2,manager2@company.com,"CN=Manager2,OU=Dept2",21-02-2023,24-05-1981,571579,Chennai,Karnataka,UK,Bajaj Finserv Direct Limited,Bajaj Group,Inactive,Valid,09-12-2025,20-08-2025,8Q349DXB,Z9SVN7N1,347,17-07-2022,No,Vendor,Yes
23,2XCDYK,Active Directory User,7LXXE_2XCDYK,zduxl@company.com,user23@company.com,First23,Last23,First23 Last23,First23 Last23,HR,SubDept3,SubSubDept2,9624,192.168.1.24,Sample Note,"CN=User23,OU=Dept3",Office3,Engineer,9.19E+11,B3,Junior,29-01-2020,17-07-2021,COMPANY,OrgUnit3,Manager3,L8M1G9,Manager3,manager3@company.com,"CN=Manager3,OU=Dept3",28-08-2020,16-08-1982,410160,Pune,West Bengal,Canada,Vendor Company B,Vendor Group,Active,Expired,Never Expires,Never Expires,5WVFGYW6,ZBNZ8V12,119,09-04-2022,Yes,Application,Yes
24,L3Q4N8,Vendor Account,832EJ_L3Q4N8,x5td4@company.com,user24@company.com,First24,Last24,First24 Last24,First24 Last24,IT,SubDept4,SubSubDept0,5670,192.168.1.22,Sample Note,"CN=User24,OU=Dept4",Office0,Senior Analyst,9.18E+11,B4,Senior,07-11-2023,08-03-2022,COMPANY,OrgUnit4,Manager4,FP8HQM,Manager4,manager4@company.com,"CN=Manager4,OU=Dept4",11-02-2020,12-02-1994,155843,Bangalore,West Bengal,UK,Bajaj Holding and Investment Limited,Bajaj Group,Active,Expired,09-09-2025,19-05-2025,9NB74X2E,K3ZEZQAC,131,01-12-2020,No,Vendor,Yes
25,T0SEKK,Active Directory User,4RTWU_T0SEKK,zkamu@company.com,user25@company.com,First25,Last25,First25 Last25,First25 Last25,HR,SubDept0,SubSubDept1,2402,192.168.1.135,Sample Note,"CN=User25,OU=Dept0",Office1,Executive,9.17E+11,B1,Junior,29-08-2021,18-09-2023,COMPANY,OrgUnit5,Manager5,QW9JA2,Manager5,manager5@company.com,"CN=Manager5,OU=Dept0",19-06-2021,15-03-1988,868544,Pune,West Bengal,UK,Bajaj Finance Limited,Bajaj Group,Active,Valid,Never Expires,28-07-2025,MMX3Y9RG,EZ7BH25L,158,11-03-2022,No,Application,No
26,9TJ1GM,Active Directory User,606N9_9TJ1GM,rr7s2@company.com,user26@company.com,First26,Last26,First26 Last26,First26 Last26,Sales,SubDept1,SubSubDept2,2293,192.168.1.111,Sample Note,"CN=User26,OU=Dept1",Office2,Consultant,9.18E+11,B3,Senior,13-05-2021,08-06-2020,COMPANY,OrgUnit6,Manager6,CXLVPY,Manager6,manager6@company.com,"CN=Manager6,OU=Dept1",30-06-2021,19-03-1995,144412,Delhi,West Bengal,Germany,Bajaj Finance Limited,Bajaj Group,Inactive,Valid,02-07-2025,Never Expires,CWN2Y8FV,2BC2NNUV,347,29-11-2021,Yes,Consultant,No
27,N1UTOX,Active Directory User,6E1ZH_N1UTOX,wy9he@company.com,user27@company.com,First27,Last27,First27 Last27,First27 Last27,IT,SubDept2,SubSubDept0,8406,192.168.1.45,Sample Note,"CN=User27,OU=Dept2",Office3,Engineer,9.17E+11,B3,Junior,03-11-2022,23-06-2021,COMPANY,OrgUnit7,Manager7,ZTKKFZ,Manager7,manager7@company.com,"CN=Manager7,OU=Dept2",23-12-2022,03-12-1985,932250,Delhi,West Bengal,USA,Bajaj Finserv Health Limited,Bajaj Group,Active,Valid,07-09-2025,Never Expires,2IRMUQ9E,5COZROOU,64,07-05-2021,Yes,Generic,Yes
28,QYM52X,Active Directory User,KF7I8_QYM52X,skch8@company.com,user28@company.com,First28,Last28,First28 Last28,First28 Last28,Finance,SubDept3,SubSubDept1,3050,192.168.1.161,Sample Note,"CN=User28,OU=Dept3",Office0,Executive,9.20E+11,B1,Senior,19-02-2022,22-09-2022,COMPANY,OrgUnit8,Manager8,G7FXZV,Manager8,manager8@company.com,"CN=Manager8,OU=Dept3",01-08-2023,06-03-1999,143195,Pune,Maharashtra,India,Bajaj Finserv Direct Limited,Bajaj Group,Inactive,Valid,Never Expires,Never Expires,1OXRWK8R,2YKCCPRH,310,11-08-2020,Yes,Application,No
29,5L9MO1,Active Directory User,EQFB8_5L9MO1,5p863@company.com,user29@company.com,First29,Last29,First29 Last29,First29 Last29,Operations,SubDept4,SubSubDept2,6123,192.168.1.49,Sample Note,"CN=User29,OU=Dept4",Office1,Senior Analyst,9.19E+11,B4,Junior,13-02-2022,27-09-2023,COMPANY,OrgUnit9,Manager9,LA8S8H,Manager9,manager9@company.com,"CN=Manager9,OU=Dept4",02-07-2021,27-08-1981,152995,Delhi,Delhi,Canada,Vendor Company A,Vendor Group,Inactive,Expired,28-04-2025,18-02-2025,T4P501NO,UHTCS1K9,348,07-08-2022,No,Employee,Yes
30,EDN9UN,Active Directory User,BELRQ_EDN9UN,vslwf@company.com,user30@company.com,First30,Last30,First30 Last30,First30 Last30,Operations,SubDept0,SubSubDept0,5902,192.168.1.152,Sample Note,"CN=User30,OU=Dept0",Office2,Executive,9.19E+11,B4,Senior,05-01-2023,24-05-2022,COMPANY,OrgUnit0,Manager0,K3NY9V,Manager0,manager0@company.com,"CN=Manager0,OU=Dept0",22-05-2023,27-11-1980,725905,Bangalore,Tamil Nadu,Canada,Bajaj Finserv Direct Limited,Bajaj Group,Active,Valid,Never Expires,30-10-2025,VGWW4FYB,8DALFYO1,241,17-09-2023,No,Application,Yes
31,ZSU9RN,Vendor Account,Y5Y2J_ZSU9RN,r8kk7@company.com,user31@company.com,First31,Last31,First31 Last31,First31 Last31,Finance,SubDept1,SubSubDept1,5735,192.168.1.181,Sample Note,"CN=User31,OU=Dept1",Office3,Senior Analyst,9.20E+11,B4,Junior,07-05-2021,15-01-2022,COMPANY,OrgUnit1,Manager1,M72JEY,Manager1,manager1@company.com,"CN=Manager1,OU=Dept1",12-08-2021,04-06-1993,958130,Delhi,Karnataka,UK,Bajaj Finserv Direct Limited,Bajaj Group,Active,Expired,01-10-2025,24-09-2025,8C7X0H3J,UJD0IB6I,119,22-03-2020,No,Vendor,Yes
32,OZD1AT,Vendor Account,1KKC1_OZD1AT,xi04b@company.com,user32@company.com,First32,Last32,First32 Last32,First32 Last32,HR,SubDept2,SubSubDept2,7846,192.168.1.226,Sample Note,"CN=User32,OU=Dept2",Office0,Senior Analyst,9.17E+11,B4,Senior,09-05-2023,08-02-2022,COMPANY,OrgUnit2,Manager2,G05KBK,Manager2,manager2@company.com,"CN=Manager2,OU=Dept2",25-07-2022,26-08-1983,451317,Delhi,Delhi,Canada,Bajaj Finserv Direct Limited,Bajaj Group,Inactive,Valid,Never Expires,25-11-2025,4QGEFQJG,02U1G463,263,24-05-2021,No,Vendor,Yes
33,OD9R7A,Active Directory User,UUJMI_OD9R7A,yqfy7@company.com,user33@company.com,First33,Last33,First33 Last33,First33 Last33,Finance,SubDept3,SubSubDept0,2923,192.168.1.164,Sample Note,"CN=User33,OU=Dept3",Office1,Executive,9.19E+11,B2,Junior,06-12-2020,26-07-2020,COMPANY,OrgUnit3,Manager3,RQ9NZ6,Manager3,manager3@company.com,"CN=Manager3,OU=Dept3",22-03-2023,16-04-1998,940952,Mumbai,Karnataka,Canada,Bajaj Finserv Limited,Bajaj Group,Active,Expired,12-06-2025,11-08-2025,TN7E36HT,F4PYZR6Q,28,05-12-2021,No,Application,Yes
34,SQCQ30,Active Directory User,BMC97_SQCQ30,c7bo1@company.com,user34@company.com,First34,Last34,First34 Last34,First34 Last34,Sales,SubDept4,SubSubDept1,7135,192.168.1.229,Sample Note,"CN=User34,OU=Dept4",Office2,Engineer,9.19E+11,B4,Senior,06-08-2021,04-05-2020,COMPANY,OrgUnit4,Manager4,YXTXMG,Manager4,manager4@company.com,"CN=Manager4,OU=Dept4",14-04-2022,16-05-1993,654531,Mumbai,Karnataka,India,Bajaj Finserv Limited,Bajaj Group,Active,Expired,Never Expires,Never Expires,QZPNIQFG,51BXW76I,34,05-06-2020,Yes,Consultant,Yes
35,QY5IBP,Active Directory User,I6UU1_QY5IBP,3i59s@company.com,user35@company.com,First35,Last35,First35 Last35,First35 Last35,Sales,SubDept0,SubSubDept2,5923,192.168.1.71,Sample Note,"CN=User35,OU=Dept0",Office3,Manager,9.19E+11,B2,Junior,30-08-2022,20-11-2022,COMPANY,OrgUnit5,Manager5,PR97Y2,Manager5,manager5@company.com,"CN=Manager5,OU=Dept0",10-05-2021,01-03-1994,528090,Mumbai,Tamil Nadu,Germany,Vendor Company A,Vendor Group,Active,Expired,09-09-2025,Never Expires,II4FQCOO,TNJLCQNT,97,21-03-2020,Yes,Application,No
36,NVBC2V,Active Directory User,8A78E_NVBC2V,9rivh@company.com,user36@company.com,First36,Last36,First36 Last36,First36 Last36,HR,SubDept1,SubSubDept0,6269,192.168.1.199,Sample Note,"CN=User36,OU=Dept1",Office0,Executive,9.19E+11,B4,Senior,08-04-2022,04-10-2022,COMPANY,OrgUnit6,Manager6,MJSRD9,Manager6,manager6@company.com,"CN=Manager6,OU=Dept1",30-12-2021,23-11-1990,312994,Delhi,Tamil Nadu,Germany,Vendor Company A,Vendor Group,Active,Valid,14-06-2025,Never Expires,0ATVZKHI,UIT7M1R0,251,16-12-2021,Yes,Application,Yes
37,0MFTG6,Active Directory User,1O4IZ_0MFTG6,asnwy@company.com,user37@company.com,First37,Last37,First37 Last37,First37 Last37,Operations,SubDept2,SubSubDept1,8916,192.168.1.169,Sample Note,"CN=User37,OU=Dept2",Office1,Engineer,9.17E+11,B1,Junior,06-04-2022,06-05-2022,COMPANY,OrgUnit7,Manager7,OAZTKS,Manager7,manager7@company.com,"CN=Manager7,OU=Dept2",20-12-2022,25-08-1994,945328,Mumbai,Maharashtra,India,Bajaj Finance Limited,Bajaj Group,Active,Valid,Never Expires,Never Expires,GS3JONOU,9IY4X41D,194,08-08-2021,Yes,Employee,No
38,CAGRP2,Active Directory User,6YUJ7_CAGRP2,yktxg@company.com,user38@company.com,First38,Last38,First38 Last38,First38 Last38,Finance,SubDept3,SubSubDept2,1256,192.168.1.247,Sample Note,"CN=User38,OU=Dept3",Office2,Senior Analyst,9.20E+11,B2,Senior,14-03-2023,28-06-2023,COMPANY,OrgUnit8,Manager8,ZOCFI4,Manager8,manager8@company.com,"CN=Manager8,OU=Dept3",27-08-2021,23-05-1998,447843,Bangalore,Karnataka,India,Vendor Company B,Vendor Group,Inactive,Valid,Never Expires,Never Expires,DICVWV8L,W2QITNGV,194,13-05-2020,Yes,Generic,No
39,2ZCFZW,Active Directory User,7Q1DD_2ZCFZW,pusdd@company.com,user39@company.com,First39,Last39,First39 Last39,First39 Last39,Operations,SubDept4,SubSubDept0,2524,192.168.1.153,Sample Note,"CN=User39,OU=Dept4",Office3,Consultant,9.18E+11,B4,Junior,20-01-2020,29-03-2021,COMPANY,OrgUnit9,Manager9,O20U9I,Manager9,manager9@company.com,"CN=Manager9,OU=Dept4",20-03-2022,08-10-1985,818605,Bangalore,Karnataka,USA,Bajaj Finserv Limited,Bajaj Group,Inactive,Expired,Never Expires,Never Expires,JFGJK2N7,ZRWQEAO4,194,03-06-2023,Yes,Consultant,No
40,PP3XVK,Active Directory User,8KZRU_PP3XVK,in3oe@company.com,user40@company.com,First40,Last40,First40 Last40,First40 Last40,Operations,SubDept0,SubSubDept1,4273,192.168.1.152,Sample Note,"CN=User40,OU=Dept0",Office0,Consultant,9.18E+11,B1,Senior,03-02-2023,18-12-2021,COMPANY,OrgUnit0,Manager0,7H23C4,Manager0,manager0@company.com,"CN=Manager0,OU=Dept0",20-05-2023,02-12-1993,805668,Bangalore,Karnataka,UK,Vendor Company B,Vendor Group,Active,Expired,26-03-2025,28-08-2025,XZ2C9ROS,7YT2M6TW,43,18-06-2020,No,Application,Yes
41,XMXB9Y,Active Directory User,JSSUU_XMXB9Y,qo1vs@company.com,user41@company.com,First41,Last41,First41 Last41,First41 Last41,Finance,SubDept1,SubSubDept2,1402,192.168.1.124,Sample Note,"CN=User41,OU=Dept1",Office1,Manager,9.18E+11,B4,Junior,01-12-2023,13-05-2020,COMPANY,OrgUnit1,Manager1,E7FLQH,Manager1,manager1@company.com,"CN=Manager1,OU=Dept1",20-01-2022,07-11-1991,599292,Pune,Delhi,Germany,Bajaj Finserv Limited,Bajaj Group,Inactive,Valid,Never Expires,Never Expires,K3E4XYF9,IGFU8IOG,327,18-10-2022,Yes,Consultant,No
42,O05QPA,Active Directory User,2TNHE_O05QPA,yr8ln@company.com,user42@company.com,First42,Last42,First42 Last42,First42 Last42,Sales,SubDept2,SubSubDept0,2871,192.168.1.90,Sample Note,"CN=User42,OU=Dept2",Office2,Executive,9.19E+11,B2,Senior,18-06-2023,12-11-2022,COMPANY,OrgUnit2,Manager2,ZKWDEE,Manager2,manager2@company.com,"CN=Manager2,OU=Dept2",19-04-2021,24-12-1983,291936,Delhi,Karnataka,Canada,Bajaj Finserv Health Limited,Bajaj Group,Inactive,Expired,Never Expires,Never Expires,VUPRT77G,GKG4W58R,99,20-06-2023,Yes,Application,No
